nsecode,OccurInDiffScreeners
INDIANCARD,17
MAXIND,17
CONFIPET,17
JTLIND,17
VGUARD,17
INDSWFTLAB,17
SHREYAS,17
JGCHEM,17
CENTRUM,17
SELMC,17
CINELINE,17
SHRENIK,17
IOLCP,17
SVLL,17
JAYSREETEA,17
PSB,17
ITDCEM,17
BINANIIND,17
SERVOTECH,17
CARERATING,17
ACCURACY,17
GRINFRA,17
RELCHEMQ,17
GODREJCP,17
NAHARSPING,17
ROLEXRINGS,17
NAHARCAP,17
LAL,17
SIGNATURE,17
RML,17
AAATECH,17
DIL,17
MURUDCERA,17
RKEC,17
SOMANYCERA,17
JAYBARMARU,17
DEVIT,17
DELTAMAGNT,17
SHARDACROP,17
DELHIVERY,17
RITCO,17
HESTERBIO,17
OMAXE,17
POCL,17
HMVL,17
COSMOFIRST,17
CORDSCABLE,17
RAIN,16
SKFINDIA,16
BOROLTD,16
RANASUG,16
TASTYBITE,16
ELDEHSG,16
ORBTEXP,16
URAVI,16
DLINKINDIA,16
DISHTV,16
RPPINFRA,16
DTIL,16
PFOCUS,16
BEDMUTHA,16
CORALFINAC,16
BHARTIHEXA,16
POWERINDIA,16
CONSOFINVT,16
PRECAM,16
PRECWIRE,16
BHARATRAS,16
CINEVISTA,16
SOFTTECH,16
KSB,16
OMAXAUTO,16
GODREJPROP,16
TIMETECHNO,16
IIFLSEC,16
METROBRAND,16
HPIL,16
TNPL,16
EMUDHRA,16
MODIRUBBER,16
TOKYOPLAST,16
MOIL,16
MOL,16
MOLDTECH,16
HINDCOMPOS,16
ARIHANTSUP,16
GUJGASLTD,16
MRO-TEK,16
SUNDRMBRAK,16
NAHARINDUS,16
SUTLEJTEX,16
ALPA,16
MANGLMCEM,16
ACEINTEG,16
KIRLOSIND,16
KINGFA,16
AARON,16
KHADIM,16
TATAPOWER,16
AARTIPHARM,16
TBOTEK,16
KAJARIACER,16
MALLCOM,16
LOKESHMACH,16
TAJGVK,16
LUMAXTECH,16
LYKALABS,16
JAGSNPHARM,16
IVZINNIFTY,16
ALKALI,16
SANDHAR,16
HIRECT,16
SAMBHAAV,16
ESTER,16
SAFARI,16
NELCO,16
SUKHJITS,16
FAZE3Q,16
FSC,16
GALAXYSURF,16
SILGO,16
FINPIPE,16
SUMICHEM,16
GLOBAL,16
TVSSCS,16
EPIGRAL,16
SUZLON,15
FUSION,15
MEDICO,15
FORCEMOT,15
EIHAHOTELS,15
AMBER,15
INDOTECH,15
CGPOWER,15
RAYMOND,15
INDSWFTLTD,15
BFUTILITIE,15
MANGCHEFER,15
CHENNPETRO,15
INDRAMEDCO,15
GARFIBRES,15
MARICO,15
SECURCRED,15
ORIENTCER,15
SRF,15
JKPAPER,15
LGHL,15
BLSE,15
ZOMATO,15
KREBSBIO,15
TARC,15
VTL,15
BPL,15
ATGL,15
SJVN,15
KHAICHEM,15
ONMOBILE,15
TDPOWERSYS,15
EXCELINDUS,15
KECL,15
BVCL,15
BIRLACORPN,15
SHALPAINTS,15
SHRADHA,15
NRAIL,15
KANPRPLA,15
UTIAMC,15
EIDPARRY,15
GEOJITFSL,15
PRAENG,15
BANKINDIA,15
VSSL,15
NETWORK18,15
PLATIND,15
HINDPETRO,15
GHCLTEXTIL,15
MOHITIND,15
GICRE,15
SANGHVIMOV,15
APTUS,15
TV18BRDCST,15
BALRAMCHIN,15
ARSHIYA,15
HEG,15
TRITURBINE,15
ARROWGREEN,15
DENORA,15
DCW,15
VADILALIND,15
MSPL,15
TTML,15
SATINDLTD,15
HLVLTD,15
WINDLAS,15
RRKABEL,15
REDTAPE,15
IEL,15
IDFNIFTYET,15
POONAWALLA,15
BFINVEST,15
GPPL,15
IDBI,15
SBGLP,15
NEXTMEDIA,15
MIDSELIETF,15
POKARNA,15
NEULANDLAB,15
SBC,15
GPTINFRA,15
PARADEEP,15
SJS,14
RPGLIFE,14
WELINV,14
SAGARDEEP,14
VLEGOV,14
VINATIORGA,14
ARCHIES,14
SIL,14
APCL,14
YATRA,14
BCONCEPTS,14
ALEMBICLTD,14
SHYAMCENT,14
RBLBANK,14
BHANDARI,14
SAMHI,14
EMAMILTD,14
BLUESTARCO,14
DOMS,14
SUNTECK,14
MOTHERSON,14
GRWRHITECH,14
MUFIN,14
MUFTI,14
MUNJALSHOW,14
MVGJL,14
GOLDTECH,14
NBCC,14
RALLIS,14
NECLIFE,14
GFLLIMITED,14
