Exchange,Token,LotSize,GNGD,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
MCX,426000,1250,1,NATURALGAS,NATURALGAS22FEB24C230,22-FEB-2024,OPTFUT,CE,230,0.05,
MCX,426001,1250,1,NATURALGAS,NATURALGAS22FEB24P230,22-FEB-2024,OPTFUT,PE,230,0.05,
MCX,426023,1250,1,NATURALGAS,NATURALGAS23JAN24C170,23-JAN-2024,OPTFUT,CE,170,0.05,
MCX,426024,1250,1,NATURALGAS,NATURALGAS22FEB24C225,22-FEB-2024,OPTFUT,CE,225,0.05,
MCX,426025,1250,1,NATURALGAS,NATURALGAS22FEB24C220,22-FEB-2024,OPTFUT,CE,220,0.05,
MCX,426026,1250,1,NATURALGAS,NATURALGAS22FEB24C215,22-FEB-2024,OPTFUT,CE,215,0.05,
MCX,426027,1250,1,NATURALGAS,NATURALGAS22FEB24C210,22-FEB-2024,OPTFUT,CE,210,0.05,
MCX,426028,1250,1,NATURALGAS,NATURALGAS22FEB24C205,22-FEB-2024,OPTFUT,CE,205,0.05,
MCX,426029,1250,1,NATURALGAS,NATURALGAS22FEB24C200,22-FEB-2024,OPTFUT,CE,200,0.05,
MCX,426030,1250,1,NATURALGAS,NATURALGAS22FEB24C195,22-FEB-2024,OPTFUT,CE,195,0.05,
MCX,426031,1250,1,NATURALGAS,NATURALGAS22FEB24C190,22-FEB-2024,OPTFUT,CE,190,0.05,
MCX,426032,1250,1,NATURALGAS,NATURALGAS22FEB24C185,22-FEB-2024,OPTFUT,CE,185,0.05,
MCX,426033,1250,1,NATURALGAS,NATURALGAS22FEB24C180,22-FEB-2024,OPTFUT,CE,180,0.05,
MCX,426034,1250,1,NATURALGAS,NATURALGAS22FEB24C175,22-FEB-2024,OPTFUT,CE,175,0.05,
MCX,426035,1250,1,NATURALGAS,NATURALGAS22FEB24C170,22-FEB-2024,OPTFUT,CE,170,0.05,
MCX,426036,1250,1,NATURALGAS,NATURALGAS22FEB24C165,22-FEB-2024,OPTFUT,CE,165,0.05,
MCX,426037,1250,1,NATURALGAS,NATURALGAS22FEB24C160,22-FEB-2024,OPTFUT,CE,160,0.05,
MCX,426038,1250,1,NATURALGAS,NATURALGAS22FEB24C155,22-FEB-2024,OPTFUT,CE,155,0.05,
MCX,426039,1250,1,NATURALGAS,NATURALGAS22FEB24C235,22-FEB-2024,OPTFUT,CE,235,0.05,
MCX,426040,1250,1,NATURALGAS,NATURALGAS22FEB24C240,22-FEB-2024,OPTFUT,CE,240,0.05,
MCX,426041,1250,1,NATURALGAS,NATURALGAS22FEB24C245,22-FEB-2024,OPTFUT,CE,245,0.05,
MCX,426042,1250,1,NATURALGAS,NATURALGAS22FEB24C250,22-FEB-2024,OPTFUT,CE,250,0.05,
MCX,426043,1250,1,NATURALGAS,NATURALGAS22FEB24C255,22-FEB-2024,OPTFUT,CE,255,0.05,
MCX,426044,1250,1,NATURALGAS,NATURALGAS22FEB24C260,22-FEB-2024,OPTFUT,CE,260,0.05,
MCX,426045,1250,1,NATURALGAS,NATURALGAS22FEB24C265,22-FEB-2024,OPTFUT,CE,265,0.05,
MCX,426046,1250,1,NATURALGAS,NATURALGAS22FEB24C270,22-FEB-2024,OPTFUT,CE,270,0.05,
MCX,426047,1250,1,NATURALGAS,NATURALGAS22FEB24C275,22-FEB-2024,OPTFUT,CE,275,0.05,
MCX,426048,1250,1,NATURALGAS,NATURALGAS22FEB24C280,22-FEB-2024,OPTFUT,CE,280,0.05,
MCX,426049,1250,1,NATURALGAS,NATURALGAS22FEB24C285,22-FEB-2024,OPTFUT,CE,285,0.05,
MCX,426050,1250,1,NATURALGAS,NATURALGAS22FEB24C290,22-FEB-2024,OPTFUT,CE,290,0.05,
MCX,426051,1250,1,NATURALGAS,NATURALGAS22FEB24C295,22-FEB-2024,OPTFUT,CE,295,0.05,
MCX,426052,1250,1,NATURALGAS,NATURALGAS22FEB24C300,22-FEB-2024,OPTFUT,CE,300,0.05,
MCX,426053,1250,1,NATURALGAS,NATURALGAS22FEB24C305,22-FEB-2024,OPTFUT,CE,305,0.05,
MCX,426055,1250,1,NATURALGAS,NATURALGAS23JAN24P170,23-JAN-2024,OPTFUT,PE,170,0.05,
MCX,426056,1250,1,NATURALGAS,NATURALGAS22FEB24P225,22-FEB-2024,OPTFUT,PE,225,0.05,
MCX,426057,1250,1,NATURALGAS,NATURALGAS22FEB24P220,22-FEB-2024,OPTFUT,PE,220,0.05,
MCX,426058,1250,1,NATURALGAS,NATURALGAS22FEB24P215,22-FEB-2024,OPTFUT,PE,215,0.05,
MCX,426059,1250,1,NATURALGAS,NATURALGAS22FEB24P210,22-FEB-2024,OPTFUT,PE,210,0.05,
MCX,426060,1250,1,NATURALGAS,NATURALGAS22FEB24P205,22-FEB-2024,OPTFUT,PE,205,0.05,
MCX,426061,1250,1,NATURALGAS,NATURALGAS22FEB24P200,22-FEB-2024,OPTFUT,PE,200,0.05,
MCX,426062,1250,1,NATURALGAS,NATURALGAS22FEB24P195,22-FEB-2024,OPTFUT,PE,195,0.05,
MCX,426063,1250,1,NATURALGAS,NATURALGAS22FEB24P190,22-FEB-2024,OPTFUT,PE,190,0.05,
MCX,426064,1250,1,NATURALGAS,NATURALGAS22FEB24P185,22-FEB-2024,OPTFUT,PE,185,0.05,
MCX,426065,1250,1,NATURALGAS,NATURALGAS22FEB24P180,22-FEB-2024,OPTFUT,PE,180,0.05,
MCX,426066,1250,1,NATURALGAS,NATURALGAS22FEB24P175,22-FEB-2024,OPTFUT,PE,175,0.05,
MCX,426067,1250,1,NATURALGAS,NATURALGAS22FEB24P170,22-FEB-2024,OPTFUT,PE,170,0.05,
MCX,426068,1250,1,NATURALGAS,NATURALGAS22FEB24P165,22-FEB-2024,OPTFUT,PE,165,0.05,
MCX,426069,1250,1,NATURALGAS,NATURALGAS22FEB24P160,22-FEB-2024,OPTFUT,PE,160,0.05,
MCX,426070,1250,1,NATURALGAS,NATURALGAS22FEB24P155,22-FEB-2024,OPTFUT,PE,155,0.05,
MCX,426071,1250,1,NATURALGAS,NATURALGAS22FEB24P235,22-FEB-2024,OPTFUT,PE,235,0.05,
MCX,426072,1250,1,NATURALGAS,NATURALGAS22FEB24P240,22-FEB-2024,OPTFUT,PE,240,0.05,
MCX,426073,1250,1,NATURALGAS,NATURALGAS22FEB24P245,22-FEB-2024,OPTFUT,PE,245,0.05,
MCX,426074,1250,1,NATURALGAS,NATURALGAS22FEB24P250,22-FEB-2024,OPTFUT,PE,250,0.05,
MCX,426075,1250,1,NATURALGAS,NATURALGAS22FEB24P255,22-FEB-2024,OPTFUT,PE,255,0.05,
MCX,426076,1250,1,NATURALGAS,NATURALGAS22FEB24P260,22-FEB-2024,OPTFUT,PE,260,0.05,
MCX,426077,1250,1,NATURALGAS,NATURALGAS22FEB24P265,22-FEB-2024,OPTFUT,PE,265,0.05,
MCX,426078,1250,1,NATURALGAS,NATURALGAS22FEB24P270,22-FEB-2024,OPTFUT,PE,270,0.05,
MCX,426079,1250,1,NATURALGAS,NATURALGAS22FEB24P275,22-FEB-2024,OPTFUT,PE,275,0.05,
MCX,426080,1250,1,NATURALGAS,NATURALGAS22FEB24P280,22-FEB-2024,OPTFUT,PE,280,0.05,
MCX,426081,1250,1,NATURALGAS,NATURALGAS22FEB24P285,22-FEB-2024,OPTFUT,PE,285,0.05,
MCX,426082,1250,1,NATURALGAS,NATURALGAS22FEB24P290,22-FEB-2024,OPTFUT,PE,290,0.05,
MCX,426083,1250,1,NATURALGAS,NATURALGAS22FEB24P295,22-FEB-2024,OPTFUT,PE,295,0.05,
MCX,426084,1250,1,NATURALGAS,NATURALGAS22FEB24P300,22-FEB-2024,OPTFUT,PE,300,0.05,
MCX,426085,1250,1,NATURALGAS,NATURALGAS22FEB24P305,22-FEB-2024,OPTFUT,PE,305,0.05,
MCX,426132,1250,1,NATURALGAS,NATURALGAS23JAN24C165,23-JAN-2024,OPTFUT,CE,165,0.05,
MCX,426133,1250,1,NATURALGAS,NATURALGAS23JAN24P165,23-JAN-2024,OPTFUT,PE,165,0.05,
MCX,426138,1250,1,NATURALGAS,NATURALGAS23JAN24C160,23-JAN-2024,OPTFUT,CE,160,0.05,
MCX,426139,1250,1,NATURALGAS,NATURALGAS22FEB24C150,22-FEB-2024,OPTFUT,CE,150,0.05,
MCX,426142,1250,1,NATURALGAS,NATURALGAS23JAN24P160,23-JAN-2024,OPTFUT,PE,160,0.05,
MCX,426143,1250,1,NATURALGAS,NATURALGAS22FEB24P150,22-FEB-2024,OPTFUT,PE,150,0.05,
MCX,426182,1250,1,NATURALGAS,NATURALGAS23JAN24C155,23-JAN-2024,OPTFUT,CE,155,0.05,
MCX,426183,1250,1,NATURALGAS,NATURALGAS23JAN24C150,23-JAN-2024,OPTFUT,CE,150,0.05,
MCX,426184,1250,1,NATURALGAS,NATURALGAS23JAN24C145,23-JAN-2024,OPTFUT,CE,145,0.05,
MCX,426185,1250,1,NATURALGAS,NATURALGAS22FEB24C145,22-FEB-2024,OPTFUT,CE,145,0.05,
MCX,426186,1250,1,NATURALGAS,NATURALGAS22FEB24C140,22-FEB-2024,OPTFUT,CE,140,0.05,
MCX,426189,1250,1,NATURALGAS,NATURALGAS23JAN24P155,23-JAN-2024,OPTFUT,PE,155,0.05,
