Exch,Exchange Segment,Symbol,Token,Instrument Type,Instrument Name,Formatted Ins Name,Lot Size,Tick Size,Trading Symbol
BSE,bse_cm,NIEHSPN,542820,E,Nippon India Mutual Fund,Nippon India Mutual Fund,1,0.01,NIEHSPN
BSE,bse_cm,IRCTC,542830,E,Indian Railway Catering and To,Indian Railway Catering and To,1,0.05,IRCTC
BSE,bse_cm,NIESSPD,542836,E,Nippon India Mutual Fund,Nippon India Mutual Fund,1,0.01,NIESSPD
BSE,bse_cm,NIESSPE,542837,E,Nippon India Mutual Fund,Nippon India Mutual Fund,1,0.01,NIESSPE
BSE,bse_cm,NIESSPF,542838,E,Nippon India Mutual Fund,Nippon India Mutual Fund,1,0.01,NIESSPF
BSE,bse_cm,NIEHSPD,542839,E,Nippon India Mutual Fund,Nippon India Mutual Fund,1,0.01,NIEHSPD
BSE,bse_cm,NIESSPH,542840,E,Nippon India Mutual Fund,Nippon India Mutual Fund,1,0.01,NIESSPH
BSE,bse_cm,NIEHSPE,542841,E,Nippon India Mutual Fund,Nippon India Mutual Fund,1,0.01,NIEHSPE
BSE,bse_cm,NIESSPK,542842,E,Nippon India Mutual Fund,Nippon India Mutual Fund,1,0.05,NIESSPK
BSE,bse_cm,NIEHSPG,542843,E,Nippon India Mutual Fund,Nippon India Mutual Fund,1,0.01,NIEHSPG
BSE,bse_cm,NIEHSPH,542844,E,Nippon India Mutual Fund,Nippon India Mutual Fund,1,0.01,NIEHSPH
BSE,bse_cm,NIEHSPJ,542845,E,Nippon India Mutual Fund,Nippon India Mutual Fund,1,0.01,NIEHSPJ
BSE,bse_cm,NIEHSPL,542846,E,Nippon India Mutual Fund,Nippon India Mutual Fund,1,0.01,NIEHSPL
BSE,bse_cm,NIESSPL,542847,E,Nippon India Mutual Fund,Nippon India Mutual Fund,1,0.01,NIESSPL
BSE,bse_cm,NIESSPM,542848,E,Nippon India Mutual Fund,Nippon India Mutual Fund,1,0.01,NIESSPM
BSE,bse_cm,NIESSPN,542849,E,Nippon India Mutual Fund,Nippon India Mutual Fund,1,0.01,NIESSPN
BSE,bse_cm,GOBLIN,542850,E,GOBLIN INDIA LIMITED,GOBLIN INDIA LIMITED,2000,0.05,GOBLIN
BSE,bse_cm,GENSOL,542851,E,Gensol Engineering Limited,Gensol Engineering Limited,76,0.05,GENSOL
BSE,bse_cm,VISHWARAJ,542852,E,Vishwaraj Sugar Industries Lim,Vishwaraj Sugar Industries Lim,1,0.05,VISHWARAJ
BSE,bse_cm,GREENPANEL,542857,E,Greenpanel Industries Limited,Greenpanel Industries Limited,1,0.05,GREENPANEL
BSE,bse_cm,SHAHLON,542862,E,Shahlon Silk Industries Limite,Shahlon Silk Industries Limite,1,0.01,SHAHLON
BSE,bse_cm,ABSLBANETF,542863,E,Aditya Birla Sun Life Mutual F,Aditya Birla Sun Life Mutual F,1,0.01,ABSLBANETF
BSE,bse_cm,MOUNT,542864,E,MOUNT HOUSING AND INFRASTRUCTU,MOUNT HOUSING AND INFRASTRUCTU,1,0.05,MOUNT
BSE,bse_cm,ANUROOP,542865,E,Anuroop Packaging Limited,Anuroop Packaging Limited,5000,0.05,ANUROOP
BSE,bse_cm,COLABCLOUD,542866,E,COLAB CLOUD PLATFORMS LIMITED,COLAB CLOUD PLATFORMS LIMITED,1,0.05,COLABCLOUD
BSE,bse_cm,CSBBANK,542867,E,CSB Bank Limited,CSB Bank Limited,1,0.05,CSBBANK
BSE,bse_cm,UJJIVANSFB,542904,E,Ujjivan Small Finance Bank Lim,Ujjivan Small Finance Bank Lim,1,0.05,UJJIVANSFB
BSE,bse_cm,HINDWAREAP,542905,E,Hindware Home Innovation Limit,Hindware Home Innovation Limit,1,0.05,HINDWAREAP
BSE,bse_cm,EASUN,542906,E,Easun Capital Markets Limited,Easun Capital Markets Limited,1,0.05,EASUN
BSE,bse_cm,PRINCEPIPE,542907,E,Prince Pipes and Fittings Limi,Prince Pipes and Fittings Limi,1,0.05,PRINCEPIPE
BSE,bse_cm,EBBETF0423,542908,E,Edelweiss Mutual Fund,Edelweiss Mutual Fund,1,0.01,EBBETF0423
BSE,bse_cm,EBBETF0430,542909,E,Edelweiss Mutual Fund,Edelweiss Mutual Fund,1,0.01,EBBETF0430
BSE,bse_cm,VALENCIA,542910,E,Valencia Nutrition Limited,Valencia Nutrition Limited,3000,0.05,VALENCIA
BSE,bse_cm,ASSAMENT,542911,E,Assam Entrade Limited,Assam Entrade Limited,1,0.05,ASSAMENT
BSE,bse_cm,IPRU3400,542912,E,ICICI Prudential Mutual Fund,ICICI Prudential Mutual Fund,1,0.01,IPRU3400
BSE,bse_cm,IPRU3401,542913,E,ICICI Prudential Mutual Fund,ICICI Prudential Mutual Fund,1,0.01,IPRU3401
BSE,bse_cm,IPRU3402,542914,E,ICICI Prudential Mutual Fund,ICICI Prudential Mutual Fund,1,0.01,IPRU3402
BSE,bse_cm,IPRU9602,542915,E,ICICI Prudential Mutual Fund,ICICI Prudential Mutual Fund,1,0.01,IPRU9602
BSE,bse_cm,IPRU9603,542916,E,ICICI Prudential Mutual Fund,ICICI Prudential Mutual Fund,1,0.01,IPRU9603
BSE,bse_cm,IPRU9604,542917,E,ICICI Prudential Mutual Fund,ICICI Prudential Mutual Fund,1,0.01,IPRU9604
BSE,bse_cm,GIANLIFE,542918,E,Gian Life Care Limited,Gian Life Care Limited,1,0.05,GIANLIFE
BSE,bse_cm,ARTEMISMED,542919,E,Artemis Medicare Services Limi,Artemis Medicare Services Limi,1,0.05,ARTEMISMED
BSE,bse_cm,SUMICHEM,542920,E,SUMITOMO CHEMICAL INDIA LIMITE,SUMITOMO CHEMICAL INDIA LIMITE,1,0.05,SUMICHEM
BSE,bse_cm,ICICIM150,542921,E,ICICI Prudential Mutual Fund,ICICI Prudential Mutual Fund,1,0.01,ICICIM150
BSE,bse_cm,MANXT50ETF,542922,E,Mirae Asset Mutual Fund,Mirae Asset Mutual Fund,1,0.01,MANXT50ETF
BSE,bse_cm,TRANWAY,542923,E,Tranway Technologies Limited,Tranway Technologies Limited,10000,0.01,TRANWAY
BSE,bse_cm,JANUSCORP,542924,E,Janus Corporation Limited,Janus Corporation Limited,3500,0.01,JANUSCORP
BSE,bse_cm,IPRU3403,542925,E,ICICI Prudential Mutual Fund,ICICI Prudential Mutual Fund,1,0.01,IPRU3403
BSE,bse_cm,IPRU3404,542926,E,ICICI Prudential Mutual Fund,ICICI Prudential Mutual Fund,1,0.01,IPRU3404
BSE,bse_cm,IPRU3405,542927,E,ICICI Prudential Mutual Fund,ICICI Prudential Mutual Fund,1,0.01,IPRU3405
BSE,bse_cm,IPRU9605,542928,E,ICICI Prudential Mutual Fund,ICICI Prudential Mutual Fund,1,0.01,IPRU9605
BSE,bse_cm,IPRU9606,542929,E,ICICI Prudential Mutual Fund,ICICI Prudential Mutual Fund,1,0.01,IPRU9606
BSE,bse_cm,IPRU9607,542930,E,ICICI Prudential Mutual Fund,ICICI Prudential Mutual Fund,1,0.01,IPRU9607
BSE,bse_cm,VARDHANCFL,542931,E,Vardhan Capital & Finance Limi,Vardhan Capital & Finance Limi,1,0.01,VARDHANCFL
BSE,bse_cm,BIRLATYRES,542932,E,Birla Tyres Limited,Birla Tyres Limited,1,0.01,BIRLATYRES
BSE,bse_cm,UNIVPHOTO,542933,E,UNIVERSUS PHOTO IMAGINGS LIMIT,UNIVERSUS PHOTO IMAGINGS LIMIT,1,0.05,UNIVPHOTO
BSE,bse_cm,CBPL,542934,E,Chandra Bhagat Pharma Limited,Chandra Bhagat Pharma Limited,1000,0.05,CBPL
BSE,bse_cm,ICLORGANIC,542935,E,ICL Organic Dairy Products Lim,ICL Organic Dairy Products Lim,6000,0.05,ICLORGANIC
BSE,bse_cm,SCPOFA7GR,542936,E,SBI Mutual Fund,SBI Mutual Fund,1,0.01,SCPOFA7GR
BSE,bse_cm,SCPOFA7GD,542937,E,SBI Mutual Fund,SBI Mutual Fund,1,0.01,SCPOFA7GD
BSE,bse_cm,OCTAVIUSPL,542938,E,Octavius Plantations Limited,Octavius Plantations Limited,1,0.05,OCTAVIUSPL
BSE,bse_cm,SUVENPHAR,543064,E,SUVEN PHARMACEUTICALS LIMITED,SUVEN PHARMACEUTICALS LIMITED,1,0.05,SUVENPHAR
BSE,bse_cm,SMAUTO,543065,E,SM Auto Stamping Limited,SM Auto Stamping Limited,4000,0.05,SMAUTO
BSE,bse_cm,SBICARD,543066,E,SBI CARDS AND PAYMENT SERVICES,SBI CARDS AND PAYMENT SERVICES,1,0.05,SBICARD
BSE,bse_cm,IPRU3420,543067,E,ICICI Prudential Mutual Fund,ICICI Prudential Mutual Fund,1,0.01,IPRU3420
BSE,bse_cm,IPRU3421,543068,E,ICICI Prudential Mutual Fund,ICICI Prudential Mutual Fund,1,0.01,IPRU3421
BSE,bse_cm,IPRU3422,543069,E,ICICI Prudential Mutual Fund,ICICI Prudential Mutual Fund,1,0.01,IPRU3422
BSE,bse_cm,IPRU9622,543070,E,ICICI Prudential Mutual Fund,ICICI Prudential Mutual Fund,1,0.01,IPRU9622
BSE,bse_cm,07AGG,543071,E,Nippon India Mutual Fund,Nippon India Mutual Fund,1,0.01,07AGG
BSE,bse_cm,07BPB,543072,E,Nippon India Mutual Fund,Nippon India Mutual Fund,1,0.01,07BPB
BSE,bse_cm,07DPD,543073,E,Nippon India Mutual Fund,Nippon India Mutual Fund,1,0.01,07DPD
BSE,bse_cm,07DPR,543074,E,Nippon India Mutual Fund,Nippon India Mutual Fund,1,0.01,07DPR
BSE,bse_cm,07QPD,543075,E,Nippon India Mutual Fund,Nippon India Mutual Fund,1,0.01,07QPD
BSE,bse_cm,07ABB,543076,E,Nippon India Mutual Fund,Nippon India Mutual Fund,1,0.01,07ABB
BSE,bse_cm,07QPR,543077,E,Nippon India Mutual Fund,Nippon India Mutual Fund,1,0.01,07QPR
BSE,bse_cm,07ADD,543078,E,Nippon India Mutual Fund,Nippon India Mutual Fund,1,0.01,07ADD
BSE,bse_cm,07GPG,543079,E,Nippon India Mutual Fund,Nippon India Mutual Fund,1,0.01,07GPG
BSE,bse_cm,07ADR,543080,E,Nippon India Mutual Fund,Nippon India Mutual Fund,1,0.01,07ADR
BSE,bse_cm,07AQD,543081,E,Nippon India Mutual Fund,Nippon India Mutual Fund,1,0.01,07AQD
BSE,bse_cm,07AQR,543082,E,Nippon India Mutual Fund,Nippon India Mutual Fund,1,0.01,07AQR
BSE,bse_cm,09MPD,543083,E,Nippon India Mutual Fund,Nippon India Mutual Fund,1,0.01,09MPD
BSE,bse_cm,09MPR,543084,E,Nippon India Mutual Fund,Nippon India Mutual Fund,1,0.01,09MPR
BSE,bse_cm,09QPD,543085,E,Nippon India Mutual Fund,Nippon India Mutual Fund,1,0.01,09QPD
BSE,bse_cm,09QPR,543086,E,Nippon India Mutual Fund,Nippon India Mutual Fund,1,0.01,09QPR
