id,Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
3889,CDS,cde_fo,GBPINR,6002,OPTCUR,PE,100,GBPINR28MARCH23100PE,GBPINR23MAR100PE,GBPINR 28MAR23 100 PE,28-03-2023,1,0.0025
3890,CDS,cde_fo,JPYINR,6003,OPTCUR,CE,60.75,JPYINR27JUNE2360.75CE,JPYINR23JUN60.75CE,JPYINR 27JUN23 60.75 CE,27-06-2023,1,0.0025
3891,CDS,cde_fo,JPYINR,6004,OPTCUR,CE,59,JPYINR26APRIL2359CE,JPYINR23APR59CE,JPYINR 26APR23 59 CE,26-04-2023,1,0.0025
3892,CDS,cde_fo,EURINR,6005,OPTCUR,CE,92.5,EURINR03MARCH2392.5CE,EURINR2330392.5CE,EURINR 03MAR23 92.5 CE,03-03-2023,1,0.0025
3893,CDS,cde_fo,EURINR,6006,OPTCUR,PE,92.5,EURINR03MARCH2392.5PE,EURINR2330392.5PE,EURINR 03MAR23 92.5 PE,03-03-2023,1,0.0025
3894,CDS,cde_fo,GBPINR,6007,OPTCUR,CE,98.25,GBPINR03FEBRUARY2398.25CE,GBPINR2320398.25CE,GBPINR 03FEB23 98.25 CE,03-02-2023,1,0.0025
3895,CDS,cde_fo,GBPINR,6008,OPTCUR,PE,98.25,GBPINR03FEBRUARY2398.25PE,GBPINR2320398.25PE,GBPINR 03FEB23 98.25 PE,03-02-2023,1,0.0025
3896,CDS,cde_fo,GBPINR,6011,OPTCUR,CE,98.5,GBPINR03FEBRUARY2398.5CE,GBPINR2320398.5CE,GBPINR 03FEB23 98.5 CE,03-02-2023,1,0.0025
3897,CDS,cde_fo,GBPINR,6012,OPTCUR,PE,98.5,GBPINR03FEBRUARY2398.5PE,GBPINR2320398.5PE,GBPINR 03FEB23 98.5 PE,03-02-2023,1,0.0025
3898,CDS,cde_fo,JPYINR,6013,OPTCUR,PE,59,JPYINR26APRIL2359PE,JPYINR23APR59PE,JPYINR 26APR23 59 PE,26-04-2023,1,0.0025
3899,CDS,cde_fo,GBPINR,6014,OPTCUR,CE,100.25,GBPINR28MARCH23100.25CE,GBPINR23MAR100.25CE,GBPINR 28MAR23 100.25 CE,28-03-2023,1,0.0025
3900,CDS,cde_fo,GBPINR,6015,OPTCUR,PE,100.25,GBPINR28MARCH23100.25PE,GBPINR23MAR100.25PE,GBPINR 28MAR23 100.25 PE,28-03-2023,1,0.0025
3901,CDS,cde_fo,GBPINR,6016,OPTCUR,CE,100.5,GBPINR28MARCH23100.5CE,GBPINR23MAR100.5CE,GBPINR 28MAR23 100.5 CE,28-03-2023,1,0.0025
3902,CDS,cde_fo,GBPINR,6017,OPTCUR,PE,100.5,GBPINR28MARCH23100.5PE,GBPINR23MAR100.5PE,GBPINR 28MAR23 100.5 PE,28-03-2023,1,0.0025
3903,CDS,cde_fo,GBPINR,6018,OPTCUR,CE,100.75,GBPINR28MARCH23100.75CE,GBPINR23MAR100.75CE,GBPINR 28MAR23 100.75 CE,28-03-2023,1,0.0025
3904,CDS,cde_fo,GBPINR,6019,OPTCUR,PE,100.75,GBPINR28MARCH23100.75PE,GBPINR23MAR100.75PE,GBPINR 28MAR23 100.75 PE,28-03-2023,1,0.0025
3905,CDS,cde_fo,GBPINR,6020,OPTCUR,CE,101,GBPINR28MARCH23101CE,GBPINR23MAR101CE,GBPINR 28MAR23 101 CE,28-03-2023,1,0.0025
3906,CDS,cde_fo,GBPINR,6021,OPTCUR,PE,101,GBPINR28MARCH23101PE,GBPINR23MAR101PE,GBPINR 28MAR23 101 PE,28-03-2023,1,0.0025
3907,CDS,cde_fo,JPYINR,6022,OPTCUR,CE,59.25,JPYINR26APRIL2359.25CE,JPYINR23APR59.25CE,JPYINR 26APR23 59.25 CE,26-04-2023,1,0.0025
3908,CDS,cde_fo,USDINR,6023,OPTCUR,CE,83.25,USDINR28MARCH2383.25CE,USDINR23MAR83.25CE,USDINR 28MAR23 83.25 CE,28-03-2023,1,0.0025
3909,CDS,cde_fo,USDINR,6024,OPTCUR,PE,83.25,USDINR28MARCH2383.25PE,USDINR23MAR83.25PE,USDINR 28MAR23 83.25 PE,28-03-2023,1,0.0025
3910,CDS,cde_fo,GBPINR,6025,OPTCUR,PE,99.25,GBPINR27DECEMBER2399.25PE,GBPINR23DEC99.25PE,GBPINR 27DEC23 99.25 PE,27-12-2023,1,0.0025
3911,CDS,cde_fo,GBPINR,6026,OPTCUR,CE,99.5,GBPINR27DECEMBER2399.5CE,GBPINR23DEC99.5CE,GBPINR 27DEC23 99.5 CE,27-12-2023,1,0.0025
3912,CDS,cde_fo,GBPINR,6027,OPTCUR,CE,98.75,GBPINR03FEBRUARY2398.75CE,GBPINR2320398.75CE,GBPINR 03FEB23 98.75 CE,03-02-2023,1,0.0025
3913,CDS,cde_fo,GBPINR,6028,OPTCUR,PE,98.75,GBPINR03FEBRUARY2398.75PE,GBPINR2320398.75PE,GBPINR 03FEB23 98.75 PE,03-02-2023,1,0.0025
3914,CDS,cde_fo,GBPINR,6029,OPTCUR,PE,94,GBPINR03MARCH2394PE,GBPINR2330394PE,GBPINR 03MAR23 94 PE,03-03-2023,1,0.0025
3915,CDS,cde_fo,GBPINR,6030,OPTCUR,CE,94.25,GBPINR03MARCH2394.25CE,GBPINR2330394.25CE,GBPINR 03MAR23 94.25 CE,03-03-2023,1,0.0025
3916,CDS,cde_fo,GBPINR,6031,OPTCUR,PE,94.25,GBPINR03MARCH2394.25PE,GBPINR2330394.25PE,GBPINR 03MAR23 94.25 PE,03-03-2023,1,0.0025
3917,CDS,cde_fo,GBPINR,6032,OPTCUR,CE,94.5,GBPINR03MARCH2394.5CE,GBPINR2330394.5CE,GBPINR 03MAR23 94.5 CE,03-03-2023,1,0.0025
3918,CDS,cde_fo,GBPINR,6033,OPTCUR,PE,94.5,GBPINR03MARCH2394.5PE,GBPINR2330394.5PE,GBPINR 03MAR23 94.5 PE,03-03-2023,1,0.0025
